"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"764","{""subject_id"":""adi""}","survey-text","0","768","0.0-0.0","","","","","","",""
"null","null","html-keyboard-response","1","2773","0.0-1.0","","
    <p>Ready-Set-Go Task:</p>
    <ul style=""text-align:left; max-width:600px; margin:auto;"">
      <li><strong>Blue circle (""Ready"")</strong> appears</li>
      <li>Then, after a delay, a <strong>green circle (""Set"")</strong> appears</li>
      <li>After ""Set"" disappears, screen goes blank</li>
      <li>You must <strong>press SPACE or tap the screen</strong> when you think the same delay has passed</li>
      <li>After you press, a red circle will appear</li>
      <li>Then you'll see how close your timing was (only for the first 5 trials).</li>
    </ul>
    <p>Get Ready!</p>
  ","","","","",""
"null","null","html-keyboard-response","2","3276","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","4350","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","4853","0.0-4.0","","<div class=""circle set""></div>","set_on_1","","","",""
"null","null","html-keyboard-response","5","7855","0.0-5.0","","","set_gap","3000","","",""
"null","null","html-keyboard-response","6","8358","0.0-6.0","","<div class=""circle ready""></div>","set_on_2","","","",""
"796"," ","html-keyboard-response","7","9155","0.0-7.0","","","go","","1070","796","-274"
"null","null","html-keyboard-response","8","9657","0.0-8.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","9","10160","0.0-9.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","10","10663","0.0-10.0","","
      <div style=""text-align:center;"">
        
        <p style=""font-size: 16px; text-align: center;"">Trial 1 of 300</p>
        <p><strong>Error:</strong> -274 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 22.6%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","11","11167","0.0-11.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","12","11669","0.0-12.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","13","13081","0.0-13.0","","","isi","","","",""
