"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"1086","{""subject_id"":""adi""}","survey-text","0","1090","0.0-0.0","","","","","","",""
"1239"," ","html-keyboard-response","1","2332","0.0-1.0","","
      <p>Ready-Set-Go Task:</p>
      <ul style=""text-align:left; max-width:600px; margin:auto;"">
        <li>First, a <strong>red circle (""Ready"")</strong> appears</li>
        <li>Then, after a delay, an <strong>orange circle (""Set"")</strong> appears</li>
        <li>After ""Set"" disappears, screen goes blank</li>
        <li>You must <strong>press SPACE</strong> when you think the same delay has passed</li>
        <li>After you press, a green circle will appear</li>
        <li>Then you'll see how close your timing was (only for the first 5 trials).</li>
      </ul>
      <p>Press any key to begin.</p>
    ","","","","",""
"null","null","html-keyboard-response","2","2834","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","4537","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","5039","0.0-4.0","","<div class=""circle set""></div>","set","500","","",""
"1442"," ","html-keyboard-response","5","6482","0.0-5.0","","","go","","1700","1442","-258"
"null","null","html-keyboard-response","6","6983","0.0-6.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","7","7485","0.0-7.0","","<div class=""circle""></div>","feedback_circle","","","",""
"2182"," ","html-keyboard-response","8","9670","0.0-8.0","","
      <p><strong>Interval you saw:</strong> 1700 ms</p>
      <p><strong>Interval you reported:</strong> 1442 ms</p>
      <p><strong>Error:</strong> -258 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","9","10673","0.0-9.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","10","11175","0.0-10.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","11","12278","0.0-11.0","","","isi","","","",""
"null","null","html-keyboard-response","12","12780","0.0-12.0","","<div class=""circle set""></div>","set","500","","",""
"980"," ","html-keyboard-response","13","13761","0.0-13.0","","","go","","1100","980","-120"
"null","null","html-keyboard-response","14","14263","0.0-14.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","15","14765","0.0-15.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1430"," ","html-keyboard-response","16","16196","0.0-16.0","","
      <p><strong>Interval you saw:</strong> 1100 ms</p>
      <p><strong>Interval you reported:</strong> 980 ms</p>
      <p><strong>Error:</strong> -120 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","17","17199","0.0-17.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","18","17701","0.0-18.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","19","19203","0.0-19.0","","","isi","","","",""
"null","null","html-keyboard-response","20","19706","0.0-20.0","","<div class=""circle set""></div>","set","500","","",""
"1395"," ","html-keyboard-response","21","21102","0.0-21.0","","","go","","1500","1395","-105"
"null","null","html-keyboard-response","22","21603","0.0-22.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","23","22105","0.0-23.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1520"," ","html-keyboard-response","24","23626","0.0-24.0","","
      <p><strong>Interval you saw:</strong> 1500 ms</p>
      <p><strong>Interval you reported:</strong> 1395 ms</p>
      <p><strong>Error:</strong> -105 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","25","24628","0.0-25.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","26","25130","0.0-26.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","27","26532","0.0-27.0","","","isi","","","",""
"null","null","html-keyboard-response","28","27035","0.0-28.0","","<div class=""circle set""></div>","set","500","","",""
"1818"," ","html-keyboard-response","29","28854","0.0-29.0","","","go","","1400","1818","418"
"null","null","html-keyboard-response","30","29355","0.0-30.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","31","29857","0.0-31.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1990"," ","html-keyboard-response","32","31848","0.0-32.0","","
      <p><strong>Interval you saw:</strong> 1400 ms</p>
      <p><strong>Interval you reported:</strong> 1818 ms</p>
      <p><strong>Error:</strong> +418 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","33","32851","0.0-33.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","34","33353","0.0-34.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","35","34956","0.0-35.0","","","isi","","","",""
"null","null","html-keyboard-response","36","35458","0.0-36.0","","<div class=""circle set""></div>","set","500","","",""
"1538"," ","html-keyboard-response","37","36997","0.0-37.0","","","go","","1600","1538","-62"
"null","null","html-keyboard-response","38","37499","0.0-38.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","39","38000","0.0-39.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1763"," ","html-keyboard-response","40","39764","0.0-40.0","","
      <p><strong>Interval you saw:</strong> 1600 ms</p>
      <p><strong>Interval you reported:</strong> 1538 ms</p>
      <p><strong>Error:</strong> -62 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","41","40766","0.0-41.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","42","41268","0.0-42.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","43","42870","0.0-43.0","","","isi","","","",""
"null","null","html-keyboard-response","44","43373","0.0-44.0","","<div class=""circle set""></div>","set","500","","",""
"1452"," ","html-keyboard-response","45","44825","0.0-45.0","","","go","","1600","1452","-148"
"null","null","html-keyboard-response","46","45327","0.0-46.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","47","46330","0.0-47.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 7 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","48","46833","0.0-48.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","49","48435","0.0-49.0","","","isi","","","",""
"null","null","html-keyboard-response","50","48938","0.0-50.0","","<div class=""circle set""></div>","set","500","","",""
"1225"," ","html-keyboard-response","51","50164","0.0-51.0","","","go","","1600","1225","-375"
"null","null","html-keyboard-response","52","50665","0.0-52.0","","<div class=""circle""></div>","feedback_circle","","","",""
