"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"868","{""subject_id"":""adi ""}","survey-text","0","872","0.0-0.0","","","","","","",""
"359"," ","html-keyboard-response","1","1235","0.0-1.0","","
      <p>Ready-Set-Go Task:</p>
      <ul style=""text-align:left; max-width:600px; margin:auto;"">
        <li>First, a <strong>red circle (""Ready"")</strong> appears</li>
        <li>Then, an <strong>orange circle (""Set"")</strong> appears after a delay</li>
        <li>You must <strong>press SPACE</strong> after an equal delay</li>
        <li>Then, a <strong>green circle (""Go"")</strong> appears</li>
        <li>You'll get feedback for the first 5 trials.</li>
      </ul>
      <p>Press any key to begin.</p>
    ","","","","",""
"null","null","html-keyboard-response","2","1739","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","2293","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","2798","0.0-4.0","","<div class=""circle set""></div>","set","500","","",""
"443"," ","html-keyboard-response","5","3243","0.0-5.0","","","go","","550","443","-107"
"null","null","html-keyboard-response","6","3747","0.0-6.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","7","4253","0.0-7.0","","
      <div style=""text-align:center;"">
        <p><strong>Interval you saw:</strong> 550 ms</p>
        <p><strong>Interval you reported:</strong> 443 ms</p>
        <p><strong>Error:</strong> -107 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 39.300000000000004%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","8","5257","0.0-8.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","9","5761","0.0-9.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","10","6316","0.0-10.0","","","isi","","","",""
"null","null","html-keyboard-response","11","6820","0.0-11.0","","<div class=""circle set""></div>","set","500","","",""
"420"," ","html-keyboard-response","12","7242","0.0-12.0","","","go","","550","420","-130"
"null","null","html-keyboard-response","13","7746","0.0-13.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","14","8251","0.0-14.0","","
      <div style=""text-align:center;"">
        <p><strong>Interval you saw:</strong> 550 ms</p>
        <p><strong>Interval you reported:</strong> 420 ms</p>
        <p><strong>Error:</strong> -130 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 37%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","15","9255","0.0-15.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","16","9759","0.0-16.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","17","10313","0.0-17.0","","","isi","","","",""
"null","null","html-keyboard-response","18","10818","0.0-18.0","","<div class=""circle set""></div>","set","500","","",""
"580"," ","html-keyboard-response","19","11400","0.0-19.0","","","go","","550","580","30"
"null","null","html-keyboard-response","20","11904","0.0-20.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","21","12406","0.0-21.0","","
      <div style=""text-align:center;"">
        <p><strong>Interval you saw:</strong> 550 ms</p>
        <p><strong>Interval you reported:</strong> 580 ms</p>
        <p><strong>Error:</strong> +30 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 53%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","22","13409","0.0-22.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","23","13912","0.0-23.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","24","14765","0.0-24.0","","","isi","","","",""
"null","null","html-keyboard-response","25","15268","0.0-25.0","","<div class=""circle set""></div>","set","500","","",""
"825"," ","html-keyboard-response","26","16094","0.0-26.0","","","go","","850","825","-25"
"null","null","html-keyboard-response","27","16595","0.0-27.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","28","17100","0.0-28.0","","
      <div style=""text-align:center;"">
        <p><strong>Interval you saw:</strong> 850 ms</p>
        <p><strong>Interval you reported:</strong> 825 ms</p>
        <p><strong>Error:</strong> -25 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 47.5%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","29","18102","0.0-29.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","30","18605","0.0-30.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","31","19397","0.0-31.0","","","isi","","","",""
"null","null","html-keyboard-response","32","19900","0.0-32.0","","<div class=""circle set""></div>","set","500","","",""
"814"," ","html-keyboard-response","33","20715","0.0-33.0","","","go","","790","814","24"
"null","null","html-keyboard-response","34","21217","0.0-34.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","35","21720","0.0-35.0","","
      <div style=""text-align:center;"">
        <p><strong>Interval you saw:</strong> 790 ms</p>
        <p><strong>Interval you reported:</strong> 814 ms</p>
        <p><strong>Error:</strong> +24 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 52.400000000000006%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","36","22722","0.0-36.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","37","23225","0.0-37.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","38","23958","0.0-38.0","","","isi","","","",""
"null","null","html-keyboard-response","39","24461","0.0-39.0","","<div class=""circle set""></div>","set","500","","",""
"660"," ","html-keyboard-response","40","25122","0.0-40.0","","","go","","730","660","-70"
"null","null","html-keyboard-response","41","25624","0.0-41.0","","<div class=""circle go""></div>","feedback_circle","","","",""
