"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"1135","{""subject_id"":""adi""}","survey-text","0","1137","0.0-0.0","","","","","","",""
"938"," ","html-keyboard-response","1","2077","0.0-1.0","","
      <p>Ready-Set-Go Task:</p>
      <ul style=""text-align:left; max-width:600px; margin:auto;"">
        <li>First, a <strong>red circle (""Ready"")</strong> appears</li>
        <li>Then, after a delay, an <strong>orange circle (""Set"")</strong> appears</li>
        <li>After ""Set"" disappears, screen goes blank</li>
        <li>You must <strong>press SPACE</strong> when you think the same delay has passed</li>
        <li>After you press, a green circle will appear</li>
        <li>Then you'll see how close your timing was (only for the first 5 trials).</li>
      </ul>
      <p>Press any key to begin.</p>
    ","","","","",""
"null","null","html-keyboard-response","2","2580","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","2882","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","3384","0.0-4.0","","<div class=""circle set""></div>","set","500","","",""
"265"," ","html-keyboard-response","5","3650","0.0-5.0","","","go","","300","265","-35"
"null","null","html-keyboard-response","6","4152","0.0-6.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","7","4655","0.0-7.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1407"," ","html-keyboard-response","8","6064","0.0-8.0","","
      <p><strong>Interval you saw:</strong> 300 ms</p>
      <p><strong>Interval you reported:</strong> 265 ms</p>
      <p><strong>Error:</strong> -35 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","9","7067","0.0-9.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","10","7569","0.0-10.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","11","8372","0.0-11.0","","","isi","","","",""
"null","null","html-keyboard-response","12","8874","0.0-12.0","","<div class=""circle set""></div>","set","500","","",""
"866"," ","html-keyboard-response","13","9741","0.0-13.0","","","go","","800","866","66"
"null","null","html-keyboard-response","14","10242","0.0-14.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","15","10745","0.0-15.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1615"," ","html-keyboard-response","16","12361","0.0-16.0","","
      <p><strong>Interval you saw:</strong> 800 ms</p>
      <p><strong>Interval you reported:</strong> 866 ms</p>
      <p><strong>Error:</strong> +66 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","17","13364","0.0-17.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","18","13866","0.0-18.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","19","14769","0.0-19.0","","","isi","","","",""
"null","null","html-keyboard-response","20","15271","0.0-20.0","","<div class=""circle set""></div>","set","500","","",""
"817"," ","html-keyboard-response","21","16090","0.0-21.0","","","go","","900","817","-83"
"null","null","html-keyboard-response","22","16591","0.0-22.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","23","17094","0.0-23.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1162"," ","html-keyboard-response","24","18257","0.0-24.0","","
      <p><strong>Interval you saw:</strong> 900 ms</p>
      <p><strong>Interval you reported:</strong> 817 ms</p>
      <p><strong>Error:</strong> -83 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","25","19259","0.0-25.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","26","19762","0.0-26.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","27","20064","0.0-27.0","","","isi","","","",""
"null","null","html-keyboard-response","28","20567","0.0-28.0","","<div class=""circle set""></div>","set","500","","",""
"346"," ","html-keyboard-response","29","20914","0.0-29.0","","","go","","300","346","46"
"null","null","html-keyboard-response","30","21415","0.0-30.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","31","21917","0.0-31.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1123"," ","html-keyboard-response","32","23042","0.0-32.0","","
      <p><strong>Interval you saw:</strong> 300 ms</p>
      <p><strong>Interval you reported:</strong> 346 ms</p>
      <p><strong>Error:</strong> +46 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","33","24044","0.0-33.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","34","24548","0.0-34.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","35","24750","0.0-35.0","","","isi","","","",""
"null","null","html-keyboard-response","36","25253","0.0-36.0","","<div class=""circle set""></div>","set","500","","",""
"244"," ","html-keyboard-response","37","25497","0.0-37.0","","","go","","200","244","44"
"null","null","html-keyboard-response","38","25999","0.0-38.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","39","26502","0.0-39.0","","<div class=""circle""></div>","feedback_circle","","","",""
"1008"," ","html-keyboard-response","40","27511","0.0-40.0","","
      <p><strong>Interval you saw:</strong> 200 ms</p>
      <p><strong>Interval you reported:</strong> 244 ms</p>
      <p><strong>Error:</strong> +44 ms</p>
      <p>Press any key to continue.</p>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","41","28514","0.0-41.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","42","29017","0.0-42.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","43","29720","0.0-43.0","","","isi","","","",""
"null","null","html-keyboard-response","44","30222","0.0-44.0","","<div class=""circle set""></div>","set","500","","",""
"672"," ","html-keyboard-response","45","30895","0.0-45.0","","","go","","700","672","-28"
"null","null","html-keyboard-response","46","31397","0.0-46.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","47","32400","0.0-47.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 7 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","48","32903","0.0-48.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","49","33306","0.0-49.0","","","isi","","","",""
"null","null","html-keyboard-response","50","33808","0.0-50.0","","<div class=""circle set""></div>","set","500","","",""
"322"," ","html-keyboard-response","51","34131","0.0-51.0","","","go","","400","322","-78"
"null","null","html-keyboard-response","52","34633","0.0-52.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","53","35635","0.0-53.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 8 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","54","36138","0.0-54.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","55","36640","0.0-55.0","","","isi","","","",""
"null","null","html-keyboard-response","56","37143","0.0-56.0","","<div class=""circle set""></div>","set","500","","",""
"504"," ","html-keyboard-response","57","37648","0.0-57.0","","","go","","500","504","4"
"null","null","html-keyboard-response","58","38149","0.0-58.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","59","39152","0.0-59.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 9 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","60","39655","0.0-60.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","61","40157","0.0-61.0","","","isi","","","",""
"null","null","html-keyboard-response","62","40660","0.0-62.0","","<div class=""circle set""></div>","set","500","","",""
"516"," ","html-keyboard-response","63","41177","0.0-63.0","","","go","","500","516","16"
"null","null","html-keyboard-response","64","41678","0.0-64.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","65","42680","0.0-65.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 10 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","66","43183","0.0-66.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","67","43685","0.0-67.0","","","isi","","","",""
"null","null","html-keyboard-response","68","44188","0.0-68.0","","<div class=""circle set""></div>","set","500","","",""
"457"," ","html-keyboard-response","69","44645","0.0-69.0","","","go","","500","457","-43"
"null","null","html-keyboard-response","70","45146","0.0-70.0","","<div class=""circle""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","71","46149","0.0-71.0","","<div style=""font-size: 48px;"">+</div>
            <p style=""font-size: 16px; text-align: center;"">Trial 11 of 300</p>","iti","","","",""
"null","null","html-keyboard-response","72","46651","0.0-72.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","73","47053","0.0-73.0","","","isi","","","",""
"null","null","html-keyboard-response","74","47556","0.0-74.0","","<div class=""circle set""></div>","set","500","","",""
"405"," ","html-keyboard-response","75","47961","0.0-75.0","","","go","","400","405","5"
"null","null","html-keyboard-response","76","48462","0.0-76.0","","<div class=""circle""></div>","feedback_circle","","","",""
