"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","subject_ID","stimulus","phase","set_duration","target_interval","reproduced_interval","reproduction_error"
"1296","{""subject_id"":""adi""}","survey-text","0","1299","0.0-0.0","","","","","","",""
"3589"," ","html-keyboard-response","1","4892","0.0-1.0","","
      <p>Ready-Set-Go Task:</p>
      <ul style=""text-align:left; max-width:600px; margin:auto;"">
        <li>First, a <strong>red circle (""Ready"")</strong> appears</li>
        <li>Then, an <strong>orange circle (""Set"")</strong> appears after a delay</li>
        <li>You must <strong>press SPACE</strong> after an equal delay</li>
        <li>Then, a <strong>green circle (""Go"")</strong> appears</li>
        <li>You'll get feedback for the first 5 trials.</li>
      </ul>
      <p>Press any key to begin.</p>
    ","","","","",""
"null","null","html-keyboard-response","2","5394","0.0-2.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","3","6357","0.0-3.0","","","isi","","","",""
"null","null","html-keyboard-response","4","6860","0.0-4.0","","<div class=""circle set""></div>","set","500","","",""
"946"," ","html-keyboard-response","5","7806","0.0-5.0","","","go","","960","946","-14"
"null","null","html-keyboard-response","6","8308","0.0-6.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","7","8811","0.0-7.0","","
      <div style=""text-align:center;"">
        
        <p style=""font-size: 16px; text-align: center;"">Trial 2 of 900</p>
        <p><strong>Error:</strong> -14 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 48.6%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","8","9813","0.0-8.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","9","10316","0.0-9.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","10","11398","0.0-10.0","","","isi","","","",""
"null","null","html-keyboard-response","11","11900","0.0-11.0","","<div class=""circle set""></div>","set","500","","",""
"929"," ","html-keyboard-response","12","12830","0.0-12.0","","","go","","1080","929","-151"
"null","null","html-keyboard-response","13","13333","0.0-13.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","14","13836","0.0-14.0","","
      <div style=""text-align:center;"">
        
        <p style=""font-size: 16px; text-align: center;"">Trial 3 of 900</p>
        <p><strong>Error:</strong> -151 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 34.9%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","15","14839","0.0-15.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","16","15342","0.0-16.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","17","16484","0.0-17.0","","","isi","","","",""
"null","null","html-keyboard-response","18","16987","0.0-18.0","","<div class=""circle set""></div>","set","500","","",""
"962"," ","html-keyboard-response","19","17950","0.0-19.0","","","go","","1140","962","-178"
"null","null","html-keyboard-response","20","18453","0.0-20.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","21","18956","0.0-21.0","","
      <div style=""text-align:center;"">
        
        <p style=""font-size: 16px; text-align: center;"">Trial 4 of 900</p>
        <p><strong>Error:</strong> -178 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 32.2%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
"null","null","html-keyboard-response","22","19959","0.0-22.0","","<p style=""font-size: 48px;"">+</p>","iti","","","",""
"null","null","html-keyboard-response","23","20462","0.0-23.0","","<div class=""circle ready""></div>","ready","","","",""
"null","null","html-keyboard-response","24","21375","0.0-24.0","","","isi","","","",""
"null","null","html-keyboard-response","25","21877","0.0-25.0","","<div class=""circle set""></div>","set","500","","",""
"982"," ","html-keyboard-response","26","22861","0.0-26.0","","","go","","910","982","72"
"null","null","html-keyboard-response","27","23363","0.0-27.0","","<div class=""circle go""></div>","feedback_circle","","","",""
"null","null","html-keyboard-response","28","23865","0.0-28.0","","
      <div style=""text-align:center;"">
        
        <p style=""font-size: 16px; text-align: center;"">Trial 5 of 900</p>
        <p><strong>Error:</strong> +72 ms</p>

        <div style=""position: relative; width: 80%; height: 40px; margin: 40px auto;"">
          <div style=""height: 8px; background: linear-gradient(to right, #3498db, #ccc, #e74c3c); border-radius: 4px;""></div>
          <div style=""position: absolute; left: 57.199999999999996%; top: -6px; transform: translateX(-50%);"">
            <div style=""width: 14px; height: 14px; background: black; border-radius: 50%; border: 2px solid white;""></div>
          </div>
          <div style=""position: absolute; left: 0%; top: 20px; font-size: 12px;"">–500 ms</div>
          <div style=""position: absolute; left: 50%; top: 20px; font-size: 12px; transform: translateX(-50%);"">0</div>
          <div style=""position: absolute; right: 0%; top: 20px; font-size: 12px;"">+500 ms</div>
        </div>

        <p>Press any key to continue.</p>
      </div>
    ","feedback_text","","","",""
